reviews,stars
Good guitar under 2k,3
Very nice and valuable,5
Good for beginners,4
"The media could not be loaded.
                



 For beginners it is the you can say good one.",4
NOTHING TO SAY,4
Go for it guys it's owsem,5
Who are loved music & want to learn guitar technique then must buyLight weight & sharp finishing,4
Great and cool looking guitar,5
Light weight for beginners shiny texture rich look,5
11 frate r not good sound,3
Nice packaging and good for beginners,4
I didn’t get the pick to play the guitar,4
"Sound quality is very good , it may be some less than costly guitars. Good looking guitar on chief rate",4
"In 2022 we doing such cost cutting and giving a bad product 😊😊See...the manufacturers still have to work alot on quality ,alot,,don't do such things, kindly fucus on consumer satisfaction.And stop this ""Customer to kya pata chala raha hai ,aese hi bhejdo jaisa bana hai,dekhi jayegi"",Guys!!!! This is so igonorant",2
It's very nice in my personal review i loved it u can trust and order it if u want to talk about the collity 10/10 everything 10/10.,5
The first guitar which I received had crack on its neck. As soon as I started tuning it the crack got widened up. So I asked for an exchange. Within 2 days I got exchange product which has a dent and small crack on the bottom part. I asked for exchange but they refused saying an order can be replaced only once. They are ok to give me a full refund by returning guitar. But I'm not sure I'll get an guitar with an offer price of 1700 in future. So I'm ok with it since damage is minimal and does not affect the tuning.Sound quality is goodStrings are not good. Better to change it with good grade strings.Product packaging and making is not all upto the mark. Guitar has cracks or damage in any one of the place.Overall a good guitar for a beginner untill he learns to play in a short period of time,3
It's very beautiful,5
"Awesome Guitar in cheapest price best for beginners.. Yes the fret tension is high.. But i will tell u the hacks, just remove the bridge saddle (White Parts) [if u don’t know what is saddle]Cheers and thank me later..",3
"Sound quality is decent, but for the price it is ok.",5
Easy to hold and nice color and avg sound.. Best under 2000,5
Nice,4
😍I love it ❣...very nice 👌..,4
"Fast delivery, package safely delivered, guitar was intact and in good condition. Sound of the guitar was good.",4
I like that design and colour sound quality is also good but string to frets ratio is little far from each other,4
Good price,5
Best for beginners,5
Very good,5
"The media could not be loaded.
                



 No bag not working",4
"The first one that arrived - the neck was completely broken in to two. So before you receive the package, check package integrity. Mine was looking ok, but still I can see a dent marks in the neck area where the guitar was broken.Amazon picked my broken guitar and immediately replaced it with the new one in no time.When they picked the old one, I was looking for the Neck Band, Extra Strings and Strummer. They were not found. But then only when I got the new guitar I realised they were inside the guitar bag's side pocket. The moment I opened the cardboard box, I knew the neck was broken before I can take the guitar out of the box - just via the transparent polythene package.So thanks to Amazon for replacing it quickly, but at the same time, caution to those who are ordering this guitar to just pay attention to the package detail and inform the delivery person in advance. I don't think we can do nothing else but just give an attempt for replacing the guitar.",4
"I initially bought it just for hobby and endup training on it and realised that you can just use it as a show piece or jst gift to someone but this is definitely not the guitar you want to learn on. A simple analogy: You wanna learn coding go get a laptop to code not a smartphone to code, even though you can.",2
"Product is good, means I m lucky as got product without any scratch. As I read comments, I thought may be I will got broken one😀. Guitar is good for beginners, the accessories they r given like bag and pic is beggars quality. But u can buy it from store. For me it is good bet.",4
Product is good but some parts are missing,2
"The media could not be loaded.
                



 You can see in the video the defect and the scratch good for beginners and sound quality was good",3
Nice & genuine product. Good product for beginners. Good sounds. Product packaging also too sturdy & appropriate. Thanks to Amazon,5
Need little quality for the body... But its ok for some occasion,3
Good product received without damage,4
"The media could not be loaded.
                



 After some time the neck is going to bend and there is no truss rod to adjust. Due to this distance between strings and frets will increase. Would've given 5star if the product is included truss rod.",4
The most important to know that this guitar just for classical look . The sound quality was bad . I say that for Beginners this is not perfect to us. We have to choose the better guitar for better sound . When i buy this its look pretty . But the way i playing the guitar its giving a different sound I was just confused .,2
"Cost wise it is good, but the thing which is irritating is that I need to tune it everytime regularly.I feel strings and tuning pegs should improve.",3
It is a very nice guitar for a biginer like me.. Easy to hold.. Easy to tune .. Easy to carry,5
No straps and strings,2
"First things first...do not expect a Fender or Yamaha quality guitar to pop out of that package, since you are not paying that much. The guitar is really good for beginners and the price is too awesome. I have played other high-end guitars like Fender, Pluto and Gibson, but this guitar is a real delight to play.Surprising thing is that the guitar in pic has a white seam border, which looks a bit odd, but the guitar I received was seamless black and awesome looking. I got three pics instead of two as shown, and other accessories as shown like the strap and extra string set. Be careful while attaching the strap to the guitar as it has only one fastening end at the bottom. You can attach the other end at the neck of the guitar using the black string they have provided. You can the video tutorial on YouTube on How to attach the strap if only one fastening end is given.The only disappointment is regarding the product finish. The paint is off in few places and the finish only tells you that it is not a high-end guitar. Amazon went way overboard with the packaging of the guitar, which I felt was very unnecessary. There was more than 100 bubble sheets for the protection.Pros:1. Amazing Looking Guitar2. Great Sound3. Light Weight.4. Strings and Wood Quality is very good.Cons.1. One size smaller than standard acoustic guitar (I am not sure).2. Finish is not that overwhelming.3. Guitar Action (distance between Fret board and Strings) is quite high.Overall, just go for it, its worth your money.",5
Color 😍,5
Bad products,3
It's too good,5
Guitar is good.... Also it was my mistake to not check the bag pockets before writing.. I received all the accessories... Everything till now is in good condition... I apologise for writing a negative review without checking properly...,5
If you are a beginner and don't want to invest in a costly guitar just go for this one. You will not be disappointed I swear ❣️,4
"The quality of guitar is fantastic and looking attractive  , but packaging is not that much good and it is tough to learn Chord",3
Good Product,4
After using it for more  then 8 months its a great guitar for the price lot of people saying its only useful in the first 6months of learning but you can use it as long as you want cuz i learned open chords and bar chords finger picking on it its great for fingerstyle and finger picking the high action makes it little difficult for finger pressing but you will used to it the sound is great for the price you can use it for years,4
Packaging was good but it was having crack from all sides of neck. Which is the main part of guitar to watch for.,3
"This is my very first experience with a guitar. After using it for half a year, here's how I feel -Sound quality: I honestly didn't expect the guitar to sound this good. And it didn't, at first. But once I tuned it properly... Voila! It's rich, it's full, and one cannot possibly ask for more at this price! (Rating: 4.5/5)Build quality: The guitar's lightweight and doesn't feel very sturdy, however, apart from a few dents incurred due to accidental collisions with other objects, it's still in one piece. Being a budget offering, it doesn't have a truss rod, which makes the neck prone to bending, but I haven't had that happen to me yet. The strings are of low quality though and had begun to rust within the first fortnight itself. (Rating: 3.5/5)Comfort: This is one area where this guitar is absolute crap. Especially for a beginner. The action - or the distance between the strings and the fretboard - is a bit too much, making it that much harder for a newbie to master the art of playing a guitar. Even if you're determined enough to persist with it, there's no way you'll be able to play it for extended periods of time - without inflicting serious damage upon your fingers, that is. (Rating: 1.5/5)Final verdict: This is not meant for people who are serious about learning how to play a guitar. It's for those wanting to take a 'test drive' before committing fully to that idea. Or, if you're like me and just need a stress-buster (of the musical kind) to help you unwind after a long day at work - this guitar should suffice. It's nothing more, nothing less. (Overall rating: 3/5)",3
"Not worth it…..You won’t be able to use it for any purpose….It’s just a waste of money….After learning for two weeks, my tutor straightaway told me to buy a new guitar coz its sound is not upto the mark….Won’t recommend to anyone….Don’t buy it",1
I have received the Guitar but there were no Strings or picks with it.,5
Guitar was buy from bigners .Great soundAnd good qualityBut Amazon didn't give splectrum and string 😡😡😡😡,4
Good under this price range (1700),4
At a price of 1.9 k it's good for wannabes.The sound quality is average.The build is good for the price it is offered.The action (distance between strings and fret board is very high). Have to press really hard to get proper soundThe Allen keys option is not there. But at this price it's a waste to think about it.String quality is ok.In my view it's good for kids who are just beginning to learn guitar.,3
I like it,5
Good sound. quality product.,5
Best Guitar with excellent sound,5
"Small size,",4
"Actually its hard to learn from this guitar... The Distance between fretboard and String way too much and it's make difficult to play chords... and if you think to buy finger protection it will not help, cause Finger protection will take more space on string so you end up pressing the Wrong string",4
"I got excited about guitars after I saw a few guitar videos and tutorials. I was not sure if I can maintain my interest in learning and playing guitar. Hence without much investment, I was looking for an average quality guitar.This guitar does the job, although the quality is definitely at par with Yahama or Faith guitars. If you are a pre-beginner and wants to learn the basic strumming, fingering and chords, this guitar will do the job. Once you reach a beginner or intermediate level, you can go ahead with better quality guitars.You also get extra set of strings, 2 picks and an average quality bag.I broke A string on the very first day while trying to tune the guitar, hence extra set of string comes handy. Be careful with tuning.If someone is a pro and has used quality guitars, they might find this guitar below average. But for pre-beginners like me, it just does the job.I got this for 2200 but I have seen a few people buying it for 1900 to 2100 as well. If you are getting it under 2500, its a fair deal I guess. Also you can have a look at Intern guitars as well which are also for pre-beginners.Overall happy with the product.",5
Good quality.,5
"यदि आप गिटार सीखने की शुरुआत कर रहे हैं तो, यह आपके लिए सबसे अच्छा गिटार साबित हो सकता है। मैं गिटार सीखने की शुरुआत में ज्यादा खर्च नही करना चाहता था। इसीलिए मैंने इस गिटार का चयन किया। इसकी साउण्ड क्वालिटी बढ़िया है। मैं पिछले 2 वर्ष से इस गिटार का इस्तेमाल कर रहा हूँ, मूझे अबतक किसी भी तरह की समस्या नही हुई।",3
No doubt for beginners it is bestGood Sound QualityThe size is little bit smaller than the regular one.i would have given in 5 out of 5 but i didn't cause at first the delivery period was so long i took about 10 days and i too got one scratch at the edge of the guiter and little broken at backside of it....the packaging was not so good.Only covered with a thin tharmocoal layer and plastic...it must be covered with the thik tharmocoal and bubble wrapper too.Anyways for beginners i would suggest this....And yes it's only about 2000 what could you more expect??!! Just Go For It...i hope you get safe product.Thank YouKeep Music Alive,4
"The media could not be loaded.
                



 Depends on your learning aptitude",4
Best product for beginners,5
"The media could not be loaded.
                



 It was simply awesome with quality and he loved it when I gifted him. Highly recommended for beginners 👍🏻😊",5
Easy to learn,5
The product received is little much damaged,3
"Using it for almost 1.5 months, got it without damage.Turning is the biggest problem, for short period strings getting loose.Gap between fret and strings are more, very difficult for beginners.Having a guitar for fun and getting started its ok.But for guitar learners go for a different guitar with price range of 5000.",4
"The media could not be loaded.
                



 So cool amezing product..🎸🎸🎸🎸🎸❤️❤️❤️😍😍😍😍",5
After 1 months it sounds little fade. But far better than a second hand guitar in this price for learning .Bag is not good it was start cracking in few days of use . Only for beginners,4
Guitar look is good but some Frets point is not good. I don’t like Fretboard finishing. A string sounds quality is not ok because Frets point in not ok. Picguard also not install.,3
Ok,2
After 3 months of usage but it's okI used to tune twise a week,4
"I am a beginner level player, and this was my first guitar. So here's what I feel about it.It is a good looking, decent quality guitar with decent strings and good sound. I have tried guitars at shops, but they were all high priced and I was looking for something which is low ranged because I didn't know whether guitar is actually my cup of tea.The size is decent for most girls and teenage boys (I am a teenage girl). If it was any bigger, it would have been pretty huge for me to handle.The whole package at this price is a treat. You get extra strings, 2 plectrums, strap and a bag. All items are of decent quality according to the price.The strings are made of steel. Many people had this doubt as it's written nylon in the description.It is a single body guitar, and it sounds good and looks fine. You won't find it cheap looking in any way. It's made of wood, which isn't of the best quality, but a fine one.The action of the guitar is decent. It's not the best that I have played, but it's fine for the cost.It's not difficult to tune, though I struggled for the first tuning when I got it. It stays in tune for pretty long, I only have to tune mine about once every day, to make sure and adjust the slight difference (of about -2 or -3 in some chords). So that is really good.Final verdict- I don't know about the advanced players, but if you are a newbie then this can be your first guitar. It's cheap, and provides a full package at this price. Also, you can upgrade the guitar when you reach a higher level without feeling guilty.",4
"Worth buying under 2k at least for beginners, or for those who can't afford guitar at a high price.",5
"It's such a cheap quality product the wood, the Colour & everything. Size is also smaller.",3
"If you are a beginner, this is an amazing guitar. Wondering why?? It takes time for you to know your guitar. You start learning -  how hard you have to press the strings, there are many scenarios where you just break the string unknowingly now, if you have have purchased a good one, it will cost you too much to change the strings etc.",4
Good 👍,5
"Overall product is good for beginners who don't know about guitar and playing for first time & still learning.  I am writing this review after use this about 2 to 3 months.  • I received a good condition guitar.  • This guitar has no truss rod.  • Action(distance between string and fretboard) is high, your finger feel little more stress during playing.  • String quality is average.  • Guitar body attracts scratches more easily.  • Light weight guitar.  • Sound is good and not so loud because Guitar body is small and having 18 frets.  Can be a good choice for beginners.",3
"The media could not be loaded.
                



 Bag quality poor hai But Itne mei or kya expect kr sktey hai Baki Sab Awesome hai If u r a freshy then u should buy!",3
I ordered a black acoustic guitar but they send me a different colour. It's fine but still I specially ordered black because of it's colour.. Hence I was disappointed by this. I was waiting for few years to buy this & when I got it's not up to my wish.,3
Dmmaged in fred area,4
The spring action is high that make people difficult to press the strings and for a beginner this isn't a good start . Beginners shall invest a better one you shall go atleast for guitars minimum of rs. 5000 or more. Coming to the sound of it not  the best!!,4
It's best... Superb .. but it's g string is not perfect it acts as d string .. it's ok for everyone.. u can change g string ... Other than it it is best ..,4
this is my first guitar and i really like it ❤️❤️❤️,5
Okay so I've given this guitar a 4 on 5 as when I received it the first time it's packaging was so bad and the guitar was broken from the neck! After 6 days of patience when  you'll get such a defected product  you can sense how it feels!!!But then I ordered for the replacement for the same and got it delivered at my place after another 5 days of desperate waiting and then I got the actual product  and it now it's on its wires!! A fabulous buy for beginners and good sound quality!!!,4
Pretty Decent for Kickstarter but the action height needs to be decreased as it will be hard for beginners and don't worry the wood quality is great at this point of price if you are beginner go for it,4
Good product.,4
Waste of time and money. I got broken product not in any use. Don't order this. We are trying to return it from last 15 days,1
Must buy this product,4
"The media could not be loaded.
                



 In this price the guitar is awesome and sound quality is good but guitar bag quality is not good",5
"I have recieved this product and after analyzing the points are :-1. PACKING:- the packing was so good that there wasn't a scratch or dent on the outer part.2. CLOSING:- The guitar was enclosed in polythene, then a thick translucent white polythene cover, then by a cardboard box, first by the seller Juarez and over it amazon branding polythene.3. INSIDES:- there was a guitar, A cover, Two Pick 0.71mm, Guitar Shoulder Strap and 6 Strings.4. GUITAR:- The guitar was glossy, no scratch, no dent, no damage. CHECKED from all angles and with flash and light. The guitar received with fully precised packing and handling.5. PRODUCT REVIEW:- The strings were not tuned which is a good thing, you can tune as per your convenience. After tuning it sounds good, the eco and vibrations are quite lovely.Feedback:- If you are a beginer and wants your hands on a good guitar in best budget, this is what you are looking for. Buy it I will say.",5
Strings wer nt of standards...Need better strings.. guitar for this price is good though...,3
It's a little small as compared to what you would expect regular acoustic guitars to be. But that's what makes it worthwhile and easy to learn.,4
"The media could not be loaded.
                



 Nice product quality and all is well and colour is same as shown.",5
Perfect for kids who are very much interested about the guitar and want to learn it as it is compact but for beginners I'd say not worth the shot. For beginners I'd suggest to spend around 5k or so and order it from Bajaao.com as they deliver the product with utmost care and the products are flawless. Best for people who wants to buy a guitar but unable to visit a store.,4
Ossum and nice,4
"It is a good product for learning. I want you to know something. If you are learning then only buy this if you already know how to play, then don't buy.",4
"Product is Avarage , Recevied only one pic, instead of two",3
"It looks good and is suitable for beginners. But the bag is of inferior quality. It didn't fit, was smaller and the zipper came off immediately. Since there is no option to only exchange the bag, I didn't bother. But my daughter is happy with the guitar. The sound is good and proper.",3
"I am new to musical instruments. I wanted to start with a pretty cool instrument and so I chose guitar. As I didn't know a lot about guitars I chose to experiment with a guitar starting with a comparatively low price. And when taking that into consideration, I think this guitar would be a good choice to go with.",5
It's small guitar and sounds are not too good. Buy only if you want this for a child of less than 12years. Else invest in good guitar of yahma which Is more durable and sounds proffesional. It's not that good. But sitghting its price it's good only for children's who just want to have one but not for serious music lovers.,3
The best one in the price. Wood quality is not that good but should not be complained for that price.,4
"As soon as u open the box first thing that hits you is the smell of the paint used on the guitar. And you take it into your hands you cant help but think how cheap it looks even considering the price point.If you are a beginner, you definitely want a guitar that is well built... u can compromise on the looks for a low priced guitar but it should be sturdy one. The neck of this guitar ( at least the one that amazon or whoever the actual seller is tried selling me ) is soooo weak that you will break it in couple of weeks... especially if you are a beginner you are more likely to break it due to incorrect pressure and left hand positioning on the guitar neck.The one I received...had no protective packagingPaint work was shabby and uneven...u can feel it and see it cheap2nd string was bent or crooked (exactly over the hole area)The neck was not goodI cannot comment on how it sounds..coz i looked at it and did not want to play it all....may be the lowest priced ... but wots the point of spending even that 2k if it doesnot entice you into playing it???The many good reviews of the product made me buy this with confidence but all my confidence was shaken and was utterly disappointed with the seller and the item that was tried to be sold to me.Simply giving 3 stars on assumption that I was unlucky to have received a fraudulent piece and others might have received genuine or good product.",3
"Still banging it, super super effective for beginners. If your just starting out then go for this only, after playing regularly for a year then you can go for the orihinal size and good quality Yamaha guitars and so, been 3 years since I bought this, after 2 years I haven't been playing regularly but still gives satisfaction when playing in my free time. Also learn good tutorials from #GuitarZeroToHero - in youtube",4
Not as well ad expected,3
"Starting from start...packaging was well so there was no doubt of getting the product damaged...i loved that they provided a starp an extra set of string a bag because obviously it is a beginner guitar then beginners need it how will they have these thing previously and if u go to buy a bag u cant range below than 400 so, its a good deal...then come to the guitar ...I'm using it and I showed it to of my friends who play guitar and have a good knowledge of it...as what they said it is a very good guitar in this price range good enough sound just need to get good strings and everything is fine if u r low budgeted as me...",5
"Nice Guitar 🎸 For Beginners, Children,poor people .You can became a good musician by this Guitar 🎸Guitar definitely good this price range & sounds quality is really really very good.Thanks 😇😊",4
"This is one of the cheapest guitars out there and it was my first so I didn't know how bad it was until I tried my cousin's 15k acoustic Yamaha guitar. So I guess if you just wanna try learning the guitar or something it's a good choice. And also you know the saying, ""blame the engineer not the tools"". lel",3
My money got wasted all over scrates and broken we cannot play it now. Bad experience,1
"Guitar me holl h demage ho kr aaya h ... Sound v nhi h, work nhi kr raha..mediam size guitar me sound nhi hota...Large size soch kr order kiya tha... Ab refund v nhi ho raha.., 🤦‍♂️🤦‍♂️",1
Sound  quality is worse we have to tune but won't get a good one even after turning... strings are also of less quality...If you want to learn you can choose this but only suitable for learning.....For the rate I think it's worth... Finishing and shape are good... delivery was also perfect and packaging was superb....,3
I love the product 😍❤️,5
,5
I was searching for a good guitar and I found this one. The reviews were good. But the wasn't too good. It's just average. This is my detailed review.ProsIt is very cheap.Good colour and attractive bodyConsI have seen many reviews saying that it is good for beginners. But it is not. It's action is very high and it will be difficult to play this . For those who don't know what action is it is the distance between strings and fret. It is very high which makes it difficult to play.Also it is getting out of tune very frequently.If you can buy a better one please do.If this your only choice then it's up to you,3
"The quality of guitar is up to the mark, suitable for beginners. And quite affordable.",4
"Product is great, Good packing, nothing was damaged as shown in few reviews. I'm a beginner and am doin good so far. Just needs frequent adjusting. Don't buy extra tuner .Apps in phone is sufficient.",4
"Best product in this price range, good for beginners  . Sounds pretty good. If you want to learn guitar and don't have much money so this is the best option for you. But don't forget to take care after buying it.",4
Very good for a beginner.Guitar is superb.Tune it with somebody whose professional or use Guitar Tuna app. Or Yousician.I only have a problem with the guitar cover the straps are weak and the cover is of cheap quality. Weak stitches.Could charge a bit extra and provide quality cover and a stand and tuner .That would make it a perfect deal.But then in 2000 it's fine. Can get the cover stitched.Overall happy with the purchase.,4
1 thin string got broken and we have replaced with the sparce provided along this purchase. And now working fine.,4
"The guitar is very good, finishing is great and polishing also. I liked the guitar. And the packing was awesome means the guitar was packed in a very careful manner.",4
"Good quality guitar... However the string quality isn't very durable .. the first string broke on tuning and when replaced by the extra set of strings ...It broke again... Had to buy from a music store... However... My guitar ""sir"" did say that the quality of the guitar was good except that there is a certain level of buzzing that the strings produced in initially... It did fade away with time.... and especially since it came with guitar case and picks etc... It is value for money. Only my first string has broken... The others are still intact... So hence giving 4 stars for this product... I would recommend it to beginners to buy it. Have been using it for more than a month now",4
The media could not be loaded.,3
"1)Packaging delivery was all good,It's good for money.But not recommended.I read the same reviews but was on a tight budget and hurry.Hence made a mistake.2)Even for a beginner don't buy.Only preferred for children for FUN PURPOSES ONLY.3)Every 2 weeks you need to tighten the strings to get the std sound.And the more you tighten it more the handle will bend to front side as the wood will not be able to withstand the pressure.Which is not at all good.P.S.-If you really wanna learn join classes who provide their guitar for practice and then with some more bucks have something authentic afterwards.",4
Best guitar for new learner. Look n sound quality is good,5
"This guitar is great for beginners. I started playing with this guitar and it hasn't disappointed me at all. And it's been 5 years since I bought it( I didn't play it too for 2 years), still shines like a new one. Very sturdy.",5
"When you are not sure about Guitar as your passion/hobby or you just wanna try out, for 2000 (around) , it's the best guitar in the market to begin learning.Sound Quality is good, it looks good things I don't like it only have 1 dot for 12th fret, strings pack which comes with it are not labelled for beginners it almost impossible to judge which is which, they could have given a thinner pick for strumming. Also, build quality is not good, however for 2k it's justifiable.If they can fix it, its 5/5 from me. Until then 4/5.Edit 1:Tried my old guitar and released strings are really far from fret board in this guitar, it's really tough to play bar chords as compared to my rocks guitar where I am easily able to. But yes I have learned due to this Guitar as we need to apply a lot pressure in this one for bar or chords.",4
Good product,4
This product is inconsistency in action. If two people buy this same guitar they can get different action that too with huge difference. The first time i got this action was 5mm for 1st string and that is too high to begin with. I went for replacement and the product i got for replacement had 6mm action. So I would suggest not to waste yout money on these kinds of guitar. Even if you are a beginner and if you can spend 2-3K extra then plz buy a good guitar in 5K segment. This I would not suggest to anyone. As the action is high you will face a lot of difficulty in pressing the strings.,2
Good,5
Value for Money,4
Good for all,5
"Writing a review after extensive usage for over two years. This guitar is absolutely one of the best buys ever. Rs. 2000 is an absolute steal. I have a Fender FC and a Yamaha F310 and bought this one since I relocated to another city for two years, and wanted a spare guitar I can junk.Guitar is in perfect shape and I won't be junking it ! Stays tuned for atleast 2-3 days with lots of playing (8-10 hours). Stays tuned afterward too but may need to fine tune. Tone quality is decent. Again, an absolute steal for 2000 rupees.Among companies like Juarez, most of their guitars are good but there can be a chance that you may get 1/10 pieces that are defective. Else it you get a well made piece, this is a great buy",5
Price ke hisab se thik h,4
U need better quality change the stock strings,5
just go for the product you'll definitely love it if u are a beginner,4
"I would like to say that its exceedingly amazing product. The quality is superb at this price range. Go for it, youll never regret.",5
It's good for beginners.... You know .... Like for test drives.... But professionaly... There are better alternatives,4
"Beginners go for it, Great product👍 👌. So I got my replacement very soon 😀 Thank you Amazon🤗🤗.Customer always make a video or click photos before unboxing (convenient for us and seller too). Yes I got a damaged product before (previous damaged photo also uploaded). But they delivered me a new guitar very early👍 what i expected. 😊",4
I have been using this guitar for 2 monthsPros1. Packaging was good2. Sound quality is ok3. Spare string includedCon's1. Build quality not that great : pegs vibrate while playing.2. Action is high. which hurts my finger for pressing down too hard.Over all good for beginners and worth the money (bought for 2K),4
good in this price range sound is not that mind blowing but best for beginners,4
"Everything is average abiut this guitar, if you are buying it for fun that its okay hut if you are learning a guitar thenI would not recommend this.",2
nice product,5
If you are the begginer this is an ok guitar but you will have to discard or after 2-3 months of usage of you want to learn to play chords,3
Strings are very bad ...high e strings got damaged one first day only while tunning..guitar is nice and easy to handle,4
"Not very beautiful.  Sound is a bit country &western style, not a full sound, just fair. Easy to play. For the discount price it is a fair product, but the full.price is not worth it.",3
Please don't buy this guitar . After watching all reviews you will definitely think to buy it but Please don't go for it . Sound is ok But the most important it doesn't have truss rod . Means this guitar doesn't have it . So eventually this  guitar's neck will start to bend and you can't do anything . It will unplayable . I do big mistake to buy . Don't go on look . It's look is perfect but future of guitar is not good,1
Good for a beginner as in build quality is also decent.,4
Strings are not working properly,3
It's very good one and the sound quality also good...but the product is a little bit damaged and one of the string of broken...so I am not satisfied with that broken string...,3
Very nice product given as shown as in picture very good guitar for beginners love it ❤️,4
At this price range it was awesome 😎,4
I like this product verymuch as it has more quality than i expected..such an affordable price and sound quality is too good..i recommend this for beginners..as i was a beginner  and i was much satisfied with the product thank you amazon..regarding the packing it can ve packed more effeciently..rest of the things are perfect ..we can get a guitar bag extra strings and a pick..love this product,4
"This is the first time i purchase guitar and i find it quite good in this price range. The quality is 5/5. There is no damage on the body.They gave a set of string(as i am a beginner so i dont know the quality of string), two picks, a bag.",4
The look and design is gorgeous. Small and easy to carry. But the guitar didn't last for more than a year. The strings broke during winter. The G string was too hard to tune (maybe it was defective). When i first brought it smelled like paint for more than 2 months.,3
