reviews,stars
Learning guitar is all about time.. It's easy to learn but you need a good guitar to start your learning.. Juarez is pocket friendly guitar but the sound is pathetic and even if you play the chords correctly you will hear a different song from the one you are playing. use it harshly to learn and get a new guitar once comfortable.,3
"It's good at this price point but as a beginner it becomes difficult to learn barre chords. You will need to change it's strings,ig, in order to make it possible to barre chords.",4
Caution : Don't tighten the strings beyond safe limits.....,4
It's ok for beginners. But tuning pegs are very weak as they are plastic and a peg got off when trying to tune. Little difficult adjustment in keeping the tune in perfection. Anyhow we are enjoying playing it.,4
"We have guitars available of a larger size, but this one is perfect for those who are learning, the pitch of this is quite high, and is loud as well.In terms of durability, I personally think material of the body provided should be taken into consideration.The bag provided along with could have been of a better quality, but those things come secondary.Good for beginners.",4
Can't complain with this price you can't get more than thisBtw amazing productExactly same as it is appears on the siteSound quality not up to that mark but can't complain as it is best value for money,4
the whole packaging was really good nd the product is very nice no manufacturing defect.....little bit is there but overall Product is value of money......even the sound Quality very nice nd its never feel us that product was cheap.......,4
Only for beginners but there was no defect in the product which was great sound quality seems fine for me not that great but for price point it’s good. You should try it out,4
Good product timely delivered,4
"Guitar look much prettier than any pictures of it so I'm not posting any images, love that red and black colour combination its perfect. I was worried about its damage but not a single scratch was their in the guitar as because of the perfect packaging only thing is the bag is very thin its just for protecting the guitar from dust and stain not from damages and scratches but in this budget its genuine thanks amazon",5
String are of very low quality.String broken in first tuning.I tried spare string which was available in bag.That also broken 😔,3
"I am writing this review after using it for2mnths, and its a nice deal, u ll gt accessories as well, though my string gt broken in a month ,you ll gt what u have paid soo u shud not expect a fender or yamaha quality sound.-Nxt comes the luks, its bst in look wise glossy finish looks similar to to any high end guitar, except the size which is a bit small.- One can move to an high end guitar after practising on this as its the lowest price.-Guitar have to be tuned more frequently and their is more gap in between strings and guitar bridge .- it doesn't even comes with a truss rod so their is an high chance of bending of the neck.If you find the review helpful plz click on helpful button😊😊",3
Nice products,3
Overall the guitar is good and enough satisfying product probably in this price range. And nothing more could be expected in this price . But the straps and bag are of somewhat poor quality,4
This guitar is good just for kids. Even if you are beginner then also you should not go for this product because will have desire to learn only if sound will be good. Sound is not good. So i would suggest to go for little costly guitars.,3
Am a beginner and I loved it I got the product in good condition am happy about that otherwise I was worried seeing some ppl received broken ones I love playing this guitar happy so far 👍,3
Good 👍,4
Everything is good at this price range....Beginner should go for this.....But their is some damage in the front side edge of the guitar on the body below the bridge.....Overall great guitar at this price range and als the strap is too small....,5
"I bought it in rs 2190. The packaging was in cardboard box and delivered via car. I received nice product. Sound is very good. You have to tune the guitar (can do it by downloading guitar tuna app from playstore). They have given a guitar bag, extra strings (string number not mentioned in packet) and plectrum. There is no port to input electric chord to play the guitar in amplifier.Nice product. I will definitely recommend it.",5
"good guitar for begginers, action is too high so guitarist who have experience should stay away from it. bass string gets out tune after some time play but thats the only problem overall its a good guitar..",4
Better,4
"Sound quality is good not excellent but at this price, you won't get better than this.Once you learn the guitar, you can go for higher price guitars. To start this is the best.Packaging was good.",4
Very beautiful in looks....Sound quality is good....Very good for beginners....Very good guitar in budget segment....,4
"Everything was just perfect, but only lapse is that last string is very loose on guitar that's allAdvise me on how to fix itThanks",4
Any way it's look so very nice and good for beginners but prefer to get good one in it,5
Oke,4
The guitar is nice . Only the sound buzz .I would like to suggest to the seller that please do something of this buzzing sound.,4
"The media could not be loaded.
                



 Considering the given price point, the product quality is good. But I would definitely not reccomend this guitar to any begginer as the action is way too high. A begginer wouldn't even know about the action. As there is no truss rod so the action can not be fixed. A begginer would definitely loose interest because of the high action cause playing with such high action isn't a good practice, needs a lot more useless pressure by the fingers and is never advised.",2
"Difficult for beginners to play,unless manufacturers need to reduce the play (Pressing distance between Fret and String) so fingers can press properly.If the above if fixed, It will be the best instrument.",3
"The sound quality is very good as per the price , and the color & the finishing also.",5
"Very good product for beginners, the quality and the sound is good. I am happy to have this at a very small budget.Thankyou amazon.",4
The guitar colour is pretty okay  but there is stain on the body also the carry case of the guitar is much smaller than the guitar,3
"Quality:3Sound:3(poor)Packaging:4(nice)Looks:3Issues:1.bent neck(no trus rod)  2.poor string quality  3. Does'nt seems DuearbleTip: I would prefer you to buy a quality guitar (which comes for about 6,000)although you a beginner.",3
"Its was a good value for money, only problem was shipping, i believe guitar to be nice but due to uncertain reason it might appear to be scratched or dented.U can get an all fine one if lucky...Just like I did...",4
"I gifted my niece, And heard from her its good and voice is so amazing, its must by guitar for beginners.",4
"Product is good have nice built quality and good sound quality it's great for beginners one should consider this product if someone is searching for their first guitar. The product looks good and packing was also good. No damage and no defects. Received full set with bag, strings, plectrum and strap. Thanks to the seller and Amazon for such a nice product.",5
Gifted my brother and he liked it a lot.Its a nice guitar,4
"Must buy for beginners, doesn't have a cut so can't play 12th fret and beyond that easily. Amazon used to give secondary safety packaging but now it delivers only with Juarez packaging, that may damage the guitar. Hopefully I got it safe, but it was risky not to have a proper packaging.Must Buy in this Price Range.",5
"This product I like because it is very low budget guitar with good quality sound and look l,light weight easy to carry. those who are music lover and cannot afford costly guitar this guitar can satisfy their need of learning music.its full body shape allows the sound more loud and clear.which we can find in costly guitars. Delivered  on time with double packing I am using this guitar since two years working nicely in this price we are getting all accessories so no need to by it separately. And extra set of strins is plus point",5
"Although mrp shows around 7K, they sell it around 2K throughout the year. It is 13inch, check YouTube unboxing videos of this product before purchasing.Strings are of steel, although they say strings are of nylon.Some strings get out of tune frequently",3
𝙿𝚊𝚌𝚔𝚊𝚐𝚒𝚗𝚐 𝚠𝚊𝚜 𝚐𝚘𝚘𝚍... 𝙳𝚎𝚕𝚒𝚟𝚎𝚛𝚎𝚍 𝚘𝚗 𝚝𝚒𝚖𝚎... 𝚂𝚘𝚞𝚗𝚍𝚜 𝚐𝚘𝚘𝚍 𝚊𝚗𝚍 𝚜𝚞𝚙𝚎𝚛𝚋 𝚏𝚘𝚛 𝚋𝚎𝚐𝚒𝚗𝚗𝚎𝚛𝚜... 𝚃𝚑𝚊𝚗𝚔 𝚢𝚘𝚞 𝚜𝚘 𝚖𝚞𝚌𝚑 𝙰𝚖𝚊𝚣𝚘𝚗,4
"Neck and bridge glued perfectly...often u dont see that with juarez... mediocre finish on the fret...action is way to high at 4mm...for a beginner, this would be rather discouraging...also there is high fretboard buzz + the wood isnt at all good( as soon as i put my arm on it there was a crunch somewhere inside) ...So....unless you are broke af just DONT BUY IT. Returning it and going for kadence acoustic a04 eq at 5k... hopefully that will be better...the best 1 for beginners of course is the yamaha f280 at 7k which is sadly out of stock now😑",2
"This is my second purchase of this brand of guitar. Brought it for my nephew this time... It's great quality for the price light weight and slightly smaller in size than the standard guitars which makes it easy for kids to learn as well as carry. The packaging is very good as well. It comes with a bag, two picks, strap and extra set of strings. Totally impressed by this product. And highly recommend it to all.",5
I play guitar more than 20 years and I bought this to teach my kids while we are traveling. I wasn't expecting much and I was blown away by the quality. It is of course not the quality of a known brand expensive guitar but it is amazing for the money. I can both teach my kids and the guitar is not small enough so I can also play it myself.,5
The default strings are too funky better to replace them,4
"Product received as in picture , look wise good and for beginners it's upto the mark but not suitable for long run",4
This is not for people who want to learn music or playing guitar. The chords don't play well. Only you can play single strings.Don't buy if you want to seriously learn guitar. But you can buy if you want to just have a guitar and just play for fun.,2
Cool,4
"It's the perfect guitar for beginners.,Also I'm a left hand player so I had trouble setting it up., This guitars mechanism is quite simple so I was able to restring it on my own!Performance wise ., It's sound is loud and clear!But it's not a very good quality product., If ur going to jump into guitar now this guitar is fine.. if u want to pursue it seriously or planning to do grades this ain't the product for u..",3
Great guitar at low price I must say. Not only beginners also intermediate can use. It's a semi acoustic version. So works amazing both ways with or without amplifier. Tone is loud and clear. And I loved the color and packaging. Go ahead with it if you are looking for budget guitar.,5
-Sound quality is good.-distance between fretboard and strings is high (Action high)-Medium size sound box.-Good for beginners.-Suitable to buy in 1850/- INR range.,4
This product is good if u have low budget and want to learn guitar but if u have high budget go for branded guitar.,3
Good as expected in this range..😄,4
"At this price,It is the best I can say for beginners.Sound quality, value for money and very good one for beginners",5
"Comparing to the price in which I bought, the guitar is awesome and worth every penny. The only drawback is that it only has 17 frets and the size is really small. If you're doing hours of strumming and jamming your hands will start feeling pain from the elbows and shoulders. Other than that great.",4
I loved it,5
"Item ok. But asper order it is given is country of origin as Made in china  whreas written as made in india. The cover and strap are very poor quality material and stiching found zig zag not in straight , look like local stiching.rest every thing ok.kc madhavan.",2
Ok,3
Not that good for beginners and at best it's quality wise not that good. Get a better one from actual store.Packaging is so good and it also has handles. Strings broke after a time and after that the screws at top are not that good for tuning. It makes sense not to buy this but for very beginning level and if you have greatest teacher then it's good.,2
Guitar is good. But bag is not a quality and its is very tight..,4
"Product is nice, it was not broken eventhough the packaging was broken. Good quality and brand new with paint smell still persists. The logistics team did not deliver it to door step.",4
Nice guitar I like it and the colour is nice good sound and good for beginners superhit 👌👌😉,4
This product is awesome n value for money,5
Cheap guitar! if you find a good guitar any cheaper than this... it’s probably fake or stolen item,4
"Less no of fret, because of short neck",2
Don't buy this you can't play this ... its action is too high....no argument that other things are pretty good but whatever if you can't play this,3
The strings of this guitar are of very poor quality!They keep breaking every now and then.. have already got them repaired 4 times in 3 months .,2
Sound quality are not so good..,3
This is an awesome guitar for beginners under 2k . I really like the product and packaging I received .I buy it for 1990rs. The size is little small than other guitar but it's good handy to use and beautiful looking.,5
,5
I like the look and the sound,4
"It is good for beginners to learn, with sound quality am not satisfied but ok for this cost good one to buy",4
Very best guitar but the bag chain is not good,4
"Well packed but expected better sound, great for beginners it's OK product....",3
It's a perfect guitar for beginners. The products has delivered as the way as i ordered. nothing was damage. It's really good feeling to have it. I like it and completely satisfy.,5
Value for money.,4
This is not a professional guitar but a good one for learning.,4
Looking Good,4
Great quality and build,5
"Master says that ,it is very basic.difficult to tune it...",3
Would not recommend you to buy one if you are new because it is impossible to learn without a teacher on your own. And if you are gonna get a teacher then buy a full sized guitar,5
There's no extra strings and pick only got bag and straps,3
Good product perfect for beginners and best for a low budget Go for it!!!,4
Beginners should try this one. nice acoustic sound.,4
All good reached earlier than given date I am happy with the purchase,4
,5
"The build quality is good, it looks nice. It's good for beginners. Sound quality may be a little average. Nice packaging too.Good Value for money.You can absolutely buy it.",4
The zip in the bag was broken please exchange the bag alone please,4
Sound quality is so good  .but distance between fread bord and string s is so high .And packaging is very poor.,3
I really like the guitar. It was delivered 1 days before. The packing was good and the guitar is so good there r no words to explain if u want a guitar and if u r a beginner this is perfect for u,5
Look is good but the quality of guitar is very bad. When I was setting the strings according to mobile tuner app.... the plastic through which the strings are set is plucked but to strings  nothing happened.,3
I am not at all satisfied. I bought it for my 9 yrs old boy.size is perfect for him .but the quality of sound is very poor. It can't be  tuned properly ..it has manufacturing defect in tuning .I wanted to return .but as it came during corona situation..I thrown out all the boxes before taking it.,2
It's best in this price for beginners..I am impressed with this product.,4
"I like this product very much, i prefer to get grand acoustic guitar strings for better sound, 😊",5
Excellent product,5
"It's fantastic. The sound quality is awesome, easy to hold, best size, the strings quality is little less than mark, overall the guitar is best.",4
It's nice for beginners but kinda small...,4
Apt for beginners. Sound quality is at par with professional and branded guitars. Very satisfied with the purchase.,5
"Product is too good, look as well as sound...Sting quality is not up to the mark., one string is broken while tuning... Package and delivery awesome",4
Didn't receive the bag and extra string pack.,4
Nice one for beginner,4
It's really awesome 😍.. packaging was nice,4
"With out much use one of the string broke, bit upsetOverall best product, happy buying it",4
Excellent product for beginners this is awesome buy it now,4
This is a best guitar for beginners and kids this  this sound quality is very good and good packting its colour also is very good and structure is very smooth and clear finish wonder full Guitar Best Guitar and strings also good best wishes,5
Just Go for it... beautiful guitar... Nice built quality... I got fresh brand new item... Very satisfied with the product...sound is also very nice...thank you Amazon n Jaurez!!,4
Good and weightless,4
Good,4
My Own Opinion  on this Guitar  considering its Price Range :-Look n Feel - 7/10Sound Quality - 9/10Deleviry Package - 10/10Quality of Stings Provided - 8/10Overall Its a nice guitar for Beginners ..it look cheap sometimes but its ok in this price range!  👌 👌 👌,4
Guitar is good but found in damage condition,4
Good for beginners,5
Finishing of guitar is not good. Paint ripped on the edge.,3
Excellent,5
Good at price but plastic bridge and not trusrod available,2
I don't like guitar strings but guitar is its ok for beginners,3
Like,5
Good for beginners,4
Defactif,2
Good product,4
Good,4
Loved this guitar.,5
"Very good for beginners. colour is good. don't think too much, go for it 👍",4
Size is a big small..Otherwise nice product..,4
Good,4
It was my first time with Amazon I was not so sure but it was the most beautiful guitar its very useful for the beginner I became a regular customer of Amazon since then,5
Good for beginners.,3
"Go to shop and choose from there. Don't buy guitar online. Believe me, if you are serious about learning guitar, then you will regret your decision.",2
Good,4
Thanks Amazon for making available such instrument at a very very reasonable price. Very cute and handy item for beigneers,4
"Got a damaged guitar...had a crack on the back of neck. And colour was also different as expected, though sounds good",4
It's an excellent product for beginners not for experts as they should look for a more costly and efficient one,4
Nic,4
It is really very goodSound is very good,4
Beginners never buy this product,5
Happy!!I wanted it to start learning. The guitar was exactly as shown. Delivery was in a day n in good condition. I paid 1990 and for this price it's too good. I love it !!!,4
Thik thak,3
Good,4
Sound quality not match.....,4
pretty good!,4
its good product to buy for learners who just started learning guitar or have passion towards this,5
Found that the Strings are way too high over the Fret-Board making it difficult to play &  change chords easily.  Sound Quality could have been better. The Get-Up of the Guitar  looks good.  Can something be done about this defect please ?,2
Very nice product for beginners and sound quality is also good I really love this,4
Received it broken and returning it because no extra peice is left .,3
Okay for beginners.  Not a great quality product. But still value for money.,3
I brought this product for 2k very cheap. And it has an amazing and stunning look. I don't know about the sound quality because am a beginner. But when I play it sounds nice. Thanks Amazon.,5
If u want to hold just a guitar in your hands... its okay for that... it is too small in size... its good for the amount of money u send on it..But if u have played other 41 inch guitars before... then u wont like this product much... okay sound and average product.,2
good,4
Nice product in this price segment....sound quality is quite good. Recommended for beginners and advanced as well. 👍,4
The media could not be loaded.,5
Superb Guitar for learners 🙂😎,4
Bought for gift. Feeling embrassed as broken piece received. Requested for replacement,2
"Very very nice product. I would recommend all the beginners to buy it. It is worthful, finished product. Really liked it. Thank you amazon for giving me such a good experience of shopping.",5
"So the guitar is overall good.! The outer quality of the guitar is great but the inner is not as good. A bit tough for a beginner because of a high action.! But if you are beginning your guitar journey with this, then i believe you can play any guitar either of high or low action.You can go for it. If you can ,then go with black or other options as they have cutaway. Natural one has no cutaway so tough to play on the last frets.",5
ok for beginners.,4
Strings settings are not good,5
"There was a problem with guitar that the strings were too far from frets, due to which it was hurting fingers. Otherwise the product is good.",3
Guitar was awesome but sadly it was brokenIt's support wooden stick was damaged that's why gave it 3 otherwise would have rated it 5 as it's the best you can get under 2000 rupees....With some Cashback added... it becomes a steal deal...Have already orderd another guitar from jaurez itself...,3
Very good guitar for beginner..but it very small in size but Quality is so good....,4
Received damaged product. One Extra String is also damaged.,3
This was my first guitar when i wanted to start learning and trust me it's the best of this price range. Everyone must give it a shot if it's there first guitar. Best for beginners.,4
I liked it so much but the sound system was not good after arranging the strings.I am getting this same guitar with all things in better prize,4
Very handy and looks goodFine for bigginers and practice,4
That is very perfect.I promote it.,5
"My brother bought it for my birthday, i was happy and click bunch of photos and posted it on social media,still no success😉.Although i didn't know one thing about how to play guitar but i hope i can get a girlfriend😃.",3
"First time , got a defective one...The action was way too high.After replacement, it was perfect..What more can you get at this price!!!!",5
Good for beginners and kids. No picks arrived with package ☹️,3
A good product in suitable price .I am happy with this,5
S9me item missing,4
"The media could not be loaded.
                



 For the price I won't complain, but don't expect much. The strings that came with it are bad, change it asap.",3
Perfect for age 12 to 16 beginers,3
Overall a good product in this prize segment. Although could have improved the bass sound of the guitar. Recommend for the beginners.,4
Good,4
Nice product.Perfect for beginners.,3
Good-quality product.,4
Only for begginers.but strings are very tight while playing chords and it hurts my fingers,3
Its good,4
The product quality is up to the mark yet auto tuning is not done properly..You might need to install GuitarTUNA app and manually tune it,4
"This is my second purchase, both of them are awesome, looks great and sounds superb.",5
Satisfied.,3
Good product I'm very happy,5
Best gurtar for begginers but sound quality is not as expected,4
Superb,4
Best gor beginnersBut there was no extra string on the guitar pack.,4
Total value for money for beginners,5
"Even I'm a biggner, it's ok but sound quality is not so good",4
"the product i got is great.I thought it would be too small in size, bt it is ok.I got product for 2,199 rs only according to which it is great.I just did not got a thumb cllip ,that is only a disappointment,but apart from it everything is ok and great",4
It's a pretty decent guitar considering the price....nice sound...but anyone looking for a good lasting guitar could opt for something better...  satisfied since iam a beginner it's the best (learn and change) at this range for me,3
After two return and replacements finally this product arrived safe in my hand. It's a good one. Things happen for good. Overall it's a good deal.,4
This guitar is excellent for beginners....I am impressed with its sound quality......and you go for it...,5
"First up, the guitar does not come with a truss rod, and I won't criticize Juarez on that because I've seen a lot of guitars without truss rods working smoothy for months. In case of this Juarez guitar, after unboxing, the distance between the fret board and the strings was already so much that I could barely play any chord. After a few days, my fingers started to experience slight cuts and it became even more difficult to play by the day.Secondly, an alan key can't be used on the guitar, so now you might wonder why the product is so cheap.So to sum it all up, I would'nt recomend this guitar to any type of group, beginners or experts. So my advice would be to please keep scrolling through the options and find a better product. :-)",1
Nice in this Price range.,3
Good n decentReceived on time,4
Size is small but looks cool. Not fit for adult men as size is small for their height,3
This item is not use for professional,2
Good product but sound quality could have better,5
Good product for a beginner.,4
guiar is great in this prize. But packeging is not good. There is one big whole in this packege. I scared but hopefully there is no damage on guitar. Overall thich guitar is great for begineers.,3
Good for beginners,3
Product is really good,4
When i went to recieve guitar my happiness was at peak level. But after i opened the packing it all crashed because i got a guitar with damage it has crack from strings  i dont get that damaged product it was really good at low cost for beginners . So friends what I suggest every one is to brought a guitar from any good instrument store so that you can satisfy with that product other you may also face same type of problem like me !,1
"Product is very good, But Guiter bridge does not matched as per as design.Please deliver the similer item by given parts.",4
It is very good for beginners,4
Delivered broken and in different colour,1
"A good product that has been delivered to me at the specified discount rate. But, they missed the other acccessories specified in the image.I am sad because of that.",5
"Everything's good, just as shown in the picture. Worth the price. Loved it. I would definitely recommend it.",4
Outstanding.. Perfectly finished ..sounds so clear and without even a single problem. Was delivered in a huge packing.. Though it looks like a local make on amazon.in pics. .the quality will leave u speechless..at this price it sounds like better than many brands..its much more than what u pay for..Its a small one..but the sound quality is awesome..also it was very well packed and sparklingly clean and dust free..thanks to Amazon. This was awesomeness,5
Very good product at this price range,4
This is truly impeccable..best for beginners..didnt think of this amazing quality at jst 2500/-..🔥,5
Quality and sound seems good as per guitar price. Preferable for beginners.,4
"For beginners, it's good for learning. Best guitar under 2K. Value for money. Go for it. Delivered a good one. No defect found. Sound quality ok. Looks superb.",5
"Sound of guitar is wonderful. As there is no truss rod, it is impossible to adjust the action. Action increases after some days it becomes hard to press strings.",3
"Damage some side , replacement plz",4
very cheap but ver good for beginers,5
I am happy to buy this.,5
👍👍👍,3
Good👍👍,5
Average,3
"As compared to its price range, the product meet my expectation... and sounds is pretty good.",5
Value of money protect.very good quality...,4
Best for beginners.no problem or anything difficult.very good and satisfied,4
Packaging was very good. It's good for beginners as per the grip and all..I would highly recommend this if you are beginner or intermediate guitar player.,5
For beginners,5
Quality of product is good. Great for beginners as I'm a beginner too and I am using it without facing any problem.,4
"It is just perfect, light weight and great sound quality.",5
Good for beginners. Sound is below average.,4
The product is not in a very good condition,2
I am truly telling you that don't buy this it is 38inch and the frade has been band in the next few months after perches and you can't repair that because there is no rod inside .i recommend you to spend 2500-3000 and go to your nearest shop and you will have great deal. :(,2
"1 month into buying this guitar, a string got broke. And a month later, the whole bridge came off the top board with the screws while i was trying to tune the guitar. The strings keep going out of tune frequently, i don't know if the fault is with the tuning pegs or the loose bridge. Overall a very bad experience.",1
If the fretboard would have truss rod then it would be like cherry on the top for this masterpiece.,5
Product is up to the mark....great one for beginners and value for money,4
"So good! At this price point. If you want to learn guitar or if you are newbie, this one would be the best choice.",5
String broken the second day i bought and also the extra string also broken.poor quality and also more space between the board and string hard to play .Overall less better.,3
"very good product,no damage and good packing....",5
Good,4
Great guitar for beginners. Excellent finishing. Sounding good. Extra strings also provided. Well packed and delivered. Superb buy!,5
Crack below string . I hope you refund my amount . Please take this item and refund my money .,2
Good,4
Good for only beginners.,4
Well packed product nice sound quality.very nice for begginers..Just go for it don't think about it.Nice product Amazon,5
Good,4
For such a cheap price the product that I got was excellent. As a beginner to learn using this guitar is very great choice,5
Good,3
Sound is not good. Not easy to hold,3
